epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,137.179,0.52792,2.12586,0.84002,0.99767,0.54358,0.7705,0.70428,0.59942,12.4236,0.8309,0.0007228,0.0007228,0.0007228
58,139.704,0.57715,2.14114,0.84955,1,0.54601,0.7705,0.71902,0.55311,12.3596,0.81891,0.00071785,0.00071785,0.00071785
59,142.183,0.55783,2.22628,0.85366,1,0.54601,0.7705,0.73388,0.50914,11.79,0.8189,0.0007129,0.0007129,0.0007129
60,144.739,0.54994,2.21924,0.84681,0.99509,0.54561,0.7705,0.7131,0.54535,12.1656,0.82618,0.00070795,0.00070795,0.00070795
61,147.25,0.5449,2.07227,0.84188,0.99314,0.54555,0.7705,0.70149,0.56652,12.198,0.82426,0.000703,0.000703,0.000703
62,149.66,0.54616,2.04187,0.84188,0.99753,0.54601,0.7705,0.71683,0.56274,12.1854,0.82259,0.00069805,0.00069805,0.00069805
63,152.004,0.56349,2.18949,0.84689,1,0.54601,0.7705,0.69531,0.59394,12.3034,0.83409,0.0006931,0.0006931,0.0006931
64,154.41,0.52996,2.12673,0.84218,0.99286,0.54555,0.7705,0.73222,0.54456,11.6747,0.8361,0.00068815,0.00068815,0.00068815
65,157.111,0.54261,2.00482,0.84363,0.99503,0.54591,0.7705,0.73519,0.54235,11.4411,0.84267,0.0006832,0.0006832,0.0006832
66,159.752,0.53046,1.99979,0.83463,1,0.54601,0.7705,0.73638,0.52345,11.7632,0.82991,0.00067825,0.00067825,0.00067825
67,162.318,0.54943,2.05737,0.85022,0.99839,0.54601,0.7705,0.71583,0.53701,11.9667,0.82312,0.0006733,0.0006733,0.0006733
68,164.98,0.54316,2.16771,0.84363,0.99406,0.54585,0.7705,0.74483,0.52956,11.766,0.8325,0.00066835,0.00066835,0.00066835
69,167.286,0.54559,2.02799,0.84467,0.9943,0.54429,0.7705,0.74091,0.53086,11.7354,0.83479,0.0006634,0.0006634,0.0006634
70,169.588,0.5508,2.03139,0.84259,0.99332,0.54353,0.7705,0.71326,0.56334,11.5333,0.84846,0.00065845,0.00065845,0.00065845
71,171.887,0.52707,2.00265,0.84188,0.99492,0.54601,0.7705,0.72084,0.52006,12.1378,0.82715,0.0006535,0.0006535,0.0006535
72,174.199,0.53666,2.00749,0.85468,0.99573,0.54601,0.7705,0.71429,0.51068,11.974,0.81875,0.00064855,0.00064855,0.00064855
73,176.504,0.53001,1.95459,0.84099,0.99786,0.54601,0.7705,0.7355,0.48632,11.4349,0.81508,0.0006436,0.0006436,0.0006436
74,178.855,0.5398,2.07988,0.84271,0.99708,0.54361,0.7705,0.71907,0.52165,11.035,0.82758,0.00063865,0.00063865,0.00063865
75,181.228,0.52577,1.94905,0.84007,0.9978,0.54601,0.7705,0.72123,0.52983,11.6697,0.83065,0.0006337,0.0006337,0.0006337
76,183.664,0.48723,1.9538,0.82744,0.99503,0.54348,0.7705,0.71997,0.54225,12.3366,0.84548,0.00062875,0.00062875,0.00062875
77,186.138,0.53375,1.93796,0.84233,0.99649,0.54362,0.7705,0.75869,0.48691,12.7361,0.8311,0.0006238,0.0006238,0.0006238
78,188.549,0.51971,1.90065,0.84004,0.98387,0.54601,0.7705,0.71525,0.52161,12.266,0.84249,0.00061885,0.00061885,0.00061885
79,190.875,0.50853,1.88264,0.83379,0.99583,0.54361,0.7705,0.69889,0.50871,12.0665,0.82822,0.0006139,0.0006139,0.0006139
80,193.204,0.52484,2.00676,0.83513,0.99341,0.54329,0.7705,0.71636,0.53056,11.9065,0.82884,0.00060895,0.00060895,0.00060895
81,195.623,0.52414,2.01102,0.84446,0.98387,0.54294,0.76897,0.73269,0.50177,11.7886,0.82948,0.000604,0.000604,0.000604
82,197.953,0.51935,1.93464,0.83894,0.99115,0.54393,0.7705,0.74777,0.49459,11.686,0.83233,0.00059905,0.00059905,0.00059905
83,200.244,0.53462,1.91122,0.84046,0.98387,0.54601,0.7705,0.70637,0.5078,11.5817,0.83088,0.0005941,0.0005941,0.0005941
84,202.569,0.51328,1.987,0.82972,0.99426,0.54365,0.7705,0.7107,0.51626,11.5908,0.82336,0.00058915,0.00058915,0.00058915
85,204.875,0.49984,1.91363,0.83559,0.99671,0.5436,0.7705,0.71363,0.51168,11.5058,0.81224,0.0005842,0.0005842,0.0005842
86,207.167,0.49963,1.82582,0.83168,0.99758,0.54395,0.7705,0.72075,0.49851,11.65,0.80627,0.00057925,0.00057925,0.00057925
87,209.462,0.53653,1.93488,0.84176,0.99456,0.54343,0.7705,0.72374,0.50222,11.6509,0.8093,0.0005743,0.0005743,0.0005743
88,211.775,0.4867,1.82947,0.82847,0.99322,0.54362,0.7705,0.76632,0.44809,11.5628,0.80168,0.00056935,0.00056935,0.00056935
89,214.079,0.53342,1.98739,0.84035,0.99463,0.54542,0.7705,0.75715,0.44507,11.4114,0.79874,0.0005644,0.0005644,0.0005644
90,216.37,0.51497,1.87015,0.83412,0.99264,0.54388,0.7705,0.7354,0.45721,11.2912,0.80613,0.00055945,0.00055945,0.00055945
91,218.745,0.49773,2.00156,0.84321,0.98387,0.54601,0.7684,0.73305,0.47222,11.6061,0.80391,0.0005545,0.0005545,0.0005545
92,221.28,0.52536,1.92705,0.84121,0.98387,0.54601,0.7705,0.76458,0.43182,11.6439,0.79498,0.00054955,0.00054955,0.00054955
93,223.576,0.54014,1.8733,0.8474,0.98387,0.54601,0.7705,0.75995,0.43302,11.9296,0.80116,0.0005446,0.0005446,0.0005446
94,225.871,0.49815,1.82544,0.83095,0.99275,0.54506,0.7705,0.7459,0.44794,11.9988,0.81303,0.00053965,0.00053965,0.00053965
95,228.187,0.48989,1.82656,0.8315,0.98387,0.54601,0.7705,0.74512,0.45003,11.7676,0.81836,0.0005347,0.0005347,0.0005347
96,230.5,0.50658,1.8741,0.83832,0.98387,0.54601,0.7705,0.74852,0.44437,11.3984,0.81224,0.00052975,0.00052975,0.00052975
97,232.856,0.48263,1.74775,0.82713,0.98387,0.54601,0.7705,0.72981,0.48323,11.3423,0.81665,0.0005248,0.0005248,0.0005248
98,235.217,0.48792,1.8177,0.83863,0.98387,0.54601,0.7684,0.74095,0.43761,11.4694,0.81394,0.00051985,0.00051985,0.00051985
99,237.517,0.48097,1.8119,0.83509,0.98387,0.54601,0.7705,0.73131,0.43481,11.7078,0.81456,0.0005149,0.0005149,0.0005149
100,239.827,0.49769,1.81752,0.83665,0.98387,0.54601,0.7705,0.72827,0.46139,12.0789,0.81919,0.00050995,0.00050995,0.00050995
101,242.12,0.49133,1.86563,0.83773,0.99621,0.54601,0.7705,0.75018,0.44163,11.9132,0.82622,0.000505,0.000505,0.000505
102,244.429,0.4815,1.82631,0.83193,0.98589,0.54492,0.7705,0.74167,0.44191,11.9778,0.81746,0.00050005,0.00050005,0.00050005
103,246.853,0.47292,1.81438,0.82031,0.98387,0.54601,0.7705,0.75156,0.42564,12.0408,0.81253,0.0004951,0.0004951,0.0004951
104,249.173,0.48289,1.82184,0.83624,0.99229,0.54382,0.7705,0.76951,0.38636,11.954,0.81063,0.00049015,0.00049015,0.00049015
